model,prompt_style,task,accuracy,avg_tokens,perf_per_100_tokens,avg_energy_j,avg_wall_time_s,rouge1,rouge2,rougeL,rougeLsum
distilgpt2,zero-shot,BoolQ,0.175,202.525,0.08640908529811132,76.96250000000002,1.8089087647248108,,,,
distilgpt2,one-shot,BoolQ,0.6,226.525,0.2648714269948129,77.15625000000003,1.7888813850501264,,,,
distilgpt2,cot,BoolQ,0.125,208.525,0.059944850737321656,76.9375,1.7849237880249802,,,,
flan-t5-small,zero-shot,BoolQ,0.425,152.025,0.27955928301266236,5.381249999999997,0.12363405527516988,,,,
flan-t5-small,one-shot,BoolQ,0.625,177.025,0.3530574777573789,5.281250000000045,0.10623774519990548,,,,
llama-3.2-1B-Q8,zero-shot,BoolQ,0.575,143.125,0.4017467248908297,237.26249999999987,2.469688091050011,,,,
llama-3.2-1B-Q8,one-shot,BoolQ,0.675,222.25,0.30371203599550056,464.5750000000001,4.832169815750058,,,,
distilgpt2,zero-shot,GSM8K,0.0,143.53333333333333,0.0,74.16666666666677,1.7335056082332205,,,,
distilgpt2,cot,GSM8K,0.0,150.53333333333333,0.0,73.78333333333325,1.722109733733608,,,,
flan-t5-small,zero-shot,GSM8K,0.03333333333333333,86.06666666666666,0.03872966692486445,4.191666666666841,0.08458613106674116,,,,
flan-t5-small,cot,GSM8K,0.0,118.26666666666667,0.0,26.25833333333338,0.5257725987001929,,,,
llama-3.2-1B-Q8,zero-shot,GSM8K,0.06666666666666667,122.16666666666667,0.054570259208731244,278.20000000000033,2.8912656799668186,,,,
llama-3.2-1B-Q8,cot,GSM8K,0.0,150.96666666666667,0.0,370.58333333333246,3.850344520133452,,,,
flan-t5-small,concise,XSum,,446.0,0.05038384390773691,32.108333333333846,0.6434202224333906,0.2830014491225479,0.06165326764779547,0.22471194382850662,0.22478913790825722
flan-t5-small,verbose,XSum,,475.8333333333333,0.044945328765592145,32.241666666666774,0.6470537449335098,0.2733612429073998,0.06430805835324327,0.21386485604294259,0.21518172744572844
llama-3.2-1B-Q8,concise,XSum,,443.53333333333336,0.03817144296681395,871.4999999999997,9.070485537066755,0.23108841504771077,0.048612133247308155,0.16930307337214212,0.16855235753108383
llama-3.2-1B-Q8,verbose,XSum,,467.73333333333335,0.03298712334087492,874.6833333333336,9.111430436166726,0.22310375603183547,0.04071989258562429,0.1542917715730523,0.1540270534865164
